,mw_u,mw_p,ks_stat,ks_p,t_stat,t_p,horizon,comparison,symbol
697,82.0,0.5828684989396511,0.25,0.8689816711757754,-0.04593864106847189,0.9639036897775564,20,double_top_vs_random,WSM
698,142.0,0.29644544662551164,0.26666666666666666,0.5145091365577903,-1.23600777293119,0.23546766148595066,20,ma_crossover_vs_random,WSM
699,230.0,0.11168157749319903,0.4109195402298851,0.08291592184153805,1.404664690531793,0.1826360453113108,60,double_top_vs_ma_crossover,WSM
700,86.0,0.43513105132562235,0.3333333333333333,0.5360977695073805,-0.04851187392816753,0.9618117000481238,60,double_top_vs_random,WSM
701,151.0,0.5191204580901114,0.3275862068965517,0.25814254979504786,-1.0162277358653706,0.329404574906328,60,ma_crossover_vs_random,WSM
702,110.5,0.9355596817630979,0.16666666666666666,0.9813420246790658,-0.12444435145785444,0.9034659070681401,5,double_top_vs_ma_crossover,WST
703,40.0,1.0,0.2222222222222222,0.9894693541752365,-0.35713612880591633,0.7262987775297514,5,double_top_vs_random,WST
704,109.0,0.9838748119668126,0.3055555555555556,0.4856980690796042,-0.39750761249689914,0.6978843016192302,5,ma_crossover_vs_random,WST
705,83.5,0.33193506372166226,0.3611111111111111,0.29067829834236947,-1.0036799641289227,0.32779361759477965,20,double_top_vs_ma_crossover,WST
706,22.0,0.11196135426374831,0.4444444444444444,0.35170711641299873,-1.6266871034568016,0.12364546767532485,20,double_top_vs_random,WST
707,76.0,0.20290733901866465,0.4305555555555556,0.13455499635699858,-0.8238595500507081,0.4213661843966082,20,ma_crossover_vs_random,WST
708,99.5,0.8833618288405429,0.1932367149758454,0.9186576965859501,-0.5875945359363679,0.5626653380204175,60,double_top_vs_ma_crossover,WST
709,18.0,0.052058768750600205,0.6666666666666666,0.03356643356643356,-1.656331619898999,0.12029558591911697,60,double_top_vs_random,WST
710,59.0,0.06515824277304365,0.5169082125603864,0.04284511280339978,-1.2291666607993155,0.23846995635976673,60,ma_crossover_vs_random,WST
711,294.0,0.4577058184450298,0.25384615384615383,0.38385416761838853,0.7026412022194835,0.48600521807728725,5,double_top_vs_ma_crossover,WTW
712,248.0,0.19858163625853464,0.4,0.08105771161340149,1.3745282968324444,0.17891671797586123,5,double_top_vs_random,WTW
713,300.5,0.3754199858255839,0.33076923076923076,0.13011775105602397,0.4854472705326085,0.6300711099336676,5,ma_crossover_vs_random,WTW
